ParticipantID,Age,Gender,Ratings,Angle,Physical Distance,Perceived Distance
12,28,m,3,135,5.27,5.2193
12,28,m,3,180,6.0,5.2524
12,28,m,3,225,1.43,1.4914
12,28,m,3,90,5.27,5.5527
12,28,m,3,225,5.5,3.992
12,28,m,3,90,3.44,2.8905
12,28,m,3,180,3.44,2.9644
12,28,m,3,45,5.5,5.2628
12,28,m,3,90,6.0,5.6133
12,28,m,3,315,1.43,2.3353
12,28,m,3,0,6.0,4.572
12,28,m,3,135,5.5,5.2825
12,28,m,3,315,5.5,5.5754
12,28,m,3,270,5.5,3.9293
12,28,m,3,225,3.44,2.7208
12,28,m,3,0,5.5,3.8611
12,28,m,3,45,3.77,3.0017
12,28,m,3,315,5.27,4.0713
12,28,m,3,270,3.44,2.5508
12,28,m,3,270,5.27,3.9122
12,28,m,3,45,5.27,3.6112
12,28,m,3,225,5.27,3.9344
12,28,m,3,180,5.27,3.717
12,28,m,3,45,3.44,2.5913
12,28,m,3,135,1.43,1.0659
12,28,m,3,315,3.44,2.8913
12,28,m,3,45,6.0,5.4513
12,28,m,3,90,5.5,5.572
12,28,m,3,0,5.27,4.0432
12,28,m,3,0,3.44,2.9809
12,28,m,3,0,1.43,1.1738
13,28,m,4,0,5.27,2.2135
13,28,m,4,270,5.5,1.6509
13,28,m,4,270,3.77,2.3819
13,28,m,4,135,5.27,3.0604
13,28,m,4,225,1.43,0.5722
13,28,m,4,45,1.43,0.7231
13,28,m,4,180,6.0,4.3808
13,28,m,4,315,1.43,2.2222
13,28,m,4,270,1.43,1.4335
13,28,m,4,315,6.0,5.1417
13,28,m,4,315,3.77,3.6619
13,28,m,4,225,3.77,3.8817
13,28,m,4,90,1.43,1.1329
13,28,m,4,315,3.44,4.1603
13,28,m,4,180,3.77,3.7228
13,28,m,4,90,5.27,2.311
13,28,m,4,90,3.77,3.5315
13,28,m,4,225,5.27,4.081
13,28,m,4,135,3.77,2.5117
13,28,m,4,225,6.0,4.1623
13,28,m,4,45,5.27,2.4014
13,28,m,4,270,3.44,2.4512
13,28,m,4,0,1.43,3.232
13,28,m,4,0,5.5,3.8334
13,28,m,4,270,6.0,3.1416
13,28,m,4,315,5.27,3.7931
13,28,m,4,0,3.77,3.7517
13,28,m,4,45,3.77,1.8237
13,28,m,4,90,5.5,4.4321
13,28,m,4,180,3.44,3.7917
13,28,m,4,90,6.0,3.1815
13,28,m,4,45,5.5,2.2716
13,28,m,4,45,6.0,2.3514
13,28,m,4,0,6.0,3.0143
13,28,m,4,180,5.27,3.5205
13,28,m,4,135,3.44,2.2119
13,28,m,4,0,3.44,2.4921
13,28,m,4,45,3.44,3.0726
13,28,m,4,270,5.27,3.3729
13,28,m,4,225,3.44,2.1609
13,28,m,4,315,5.5,3.8722
13,28,m,4,225,5.5,3.4737
13,28,m,4,135,5.5,2.9918
13,28,m,4,180,1.43,1.1941
13,28,m,4,180,5.5,4.0311
13,28,m,4,90,3.44,1.8021
13,28,m,4,135,6.0,3.9117
13,28,m,4,135,1.43,0.8566
14,23,f,3,135,3.77,2.1224
14,23,f,3,135,5.5,2.1928
14,23,f,3,0,1.43,3.3087
14,23,f,3,225,5.5,4.8759
14,23,f,3,315,5.5,4.2912
14,23,f,3,270,3.44,3.0411
14,23,f,3,45,1.43,3.1636
14,23,f,3,180,5.27,4.8637
14,23,f,3,45,3.77,4.1035
14,23,f,3,225,5.27,3.8647
14,23,f,3,45,6.0,5.0073
14,23,f,3,45,5.5,3.4178
14,23,f,3,225,6.0,5.1771
14,23,f,3,180,3.77,3.3429
14,23,f,3,0,5.5,4.8128
14,23,f,3,0,5.27,4.83
14,23,f,3,180,6.0,3.3748
14,23,f,3,45,5.27,4.5768
14,23,f,3,225,3.44,2.8903
14,23,f,3,135,5.27,4.7067
14,23,f,3,315,1.43,1.7324
14,23,f,3,90,3.77,3.3454
14,23,f,3,315,5.27,4.8457
14,23,f,3,135,3.44,2.8437
14,23,f,3,315,6.0,4.1631
14,23,f,3,45,3.44,2.6942
14,23,f,3,180,5.5,2.3968
14,23,f,3,135,6.0,4.0278
14,23,f,3,270,6.0,4.9281
14,23,f,3,270,1.43,2.5938
14,23,f,3,270,5.27,4.5354
14,23,f,3,180,1.43,1.9857
14,23,f,3,180,3.44,2.6461
14,23,f,3,90,1.43,1.6659
14,23,f,3,270,3.77,4.2623
14,23,f,3,135,1.43,2.6128
14,23,f,3,315,3.77,3.4171
14,23,f,3,225,3.77,3.3264
14,23,f,3,0,3.77,4.6878
14,23,f,3,225,1.43,1.8446
14,23,f,3,315,3.44,2.3322
14,23,f,3,90,6.0,4.1743
14,23,f,3,0,3.44,4.5159
14,23,f,3,270,5.5,4.7847
14,23,f,3,0,6.0,4.7577
14,23,f,3,90,5.27,4.6467
14,23,f,3,90,5.5,4.2862
14,23,f,3,90,3.44,4.0345
15,39,m,4,45,6.0,4.8668
15,39,m,4,315,1.43,0.7913
15,39,m,4,0,6.0,4.5172
15,39,m,4,180,5.27,3.0635
15,39,m,4,180,3.44,2.8117
15,39,m,4,135,3.44,3.4153
15,39,m,4,270,5.5,4.8303
15,39,m,4,45,5.27,4.5554
15,39,m,4,180,3.77,2.8014
15,39,m,4,225,3.44,3.3951
15,39,m,4,45,5.5,3.8985
15,39,m,4,270,3.44,3.2616
15,39,m,4,315,3.77,3.7959
15,39,m,4,45,3.77,3.969
15,39,m,4,90,6.0,4.9916
15,39,m,4,45,3.44,4.326
15,39,m,4,270,1.43,1.8343
15,39,m,4,315,5.27,4.7298
15,39,m,4,180,1.43,2.0248
15,39,m,4,0,1.43,2.0334
15,39,m,4,270,6.0,5.2653
15,39,m,4,135,6.0,4.8132
15,39,m,4,90,5.27,1.3867
15,39,m,4,225,5.27,3.4026
15,39,m,4,225,5.5,3.4046
15,39,m,4,45,1.43,2.3417
15,39,m,4,0,3.77,4.4531
15,39,m,4,90,5.5,5.1211
15,39,m,4,135,5.5,4.0976
15,39,m,4,270,3.77,3.3429
15,39,m,4,0,3.44,3.9448
15,39,m,4,90,3.77,4.2619
15,39,m,4,135,5.27,3.8037
15,39,m,4,225,3.77,3.384
15,39,m,4,180,6.0,4.0083
15,39,m,4,225,1.43,1.7342
15,39,m,4,135,3.77,4.5119
15,39,m,4,90,3.44,4.0694
15,39,m,4,315,6.0,3.5681
15,39,m,4,225,6.0,4.5989
15,39,m,4,270,5.27,3.9284
15,39,m,4,180,5.5,4.9476
15,39,m,4,90,1.43,1.7336
15,39,m,4,135,1.43,2.4691
15,39,m,4,315,3.44,3.5535
15,39,m,4,0,5.27,3.9845
15,39,m,4,315,5.5,5.2894
15,39,m,4,0,5.5,3.9765
